[09:16:08 INF] Usage: Total CPU 4.88% | App CPU 0.26% | App Heap 5.18MB
[09:16:09 INF] Usage: Total CPU 1.20% | App CPU 0.00% | App Heap 5.18MB
[09:16:10 INF] Usage: Total CPU 0.81% | App CPU 0.00% | App Heap 5.18MB
[09:16:11 INF] Usage: Total CPU 0.93% | App CPU 0.00% | App Heap 5.18MB
[09:16:12 INF] Usage: Total CPU 2.67% | App CPU 0.26% | App Heap 5.18MB
[09:16:13 INF] Usage: Total CPU 0.44% | App CPU 0.00% | App Heap 5.18MB
[09:16:14 INF] Usage: Total CPU 0.31% | App CPU 0.06% | App Heap 5.18MB
[09:16:16 INF] Usage: Total CPU 1.00% | App CPU 0.00% | App Heap 5.18MB
[09:16:17 INF] Usage: Total CPU 3.90% | App CPU 0.00% | App Heap 5.18MB
[09:16:18 INF] Usage: Total CPU 0.00% | App CPU 0.00% | App Heap 5.18MB
[09:16:19 INF] Usage: Total CPU 2.46% | App CPU 0.06% | App Heap 5.18MB
[09:16:20 INF] Usage: Total CPU 2.56% | App CPU 0.00% | App Heap 5.18MB
[09:16:21 INF] Usage: Total CPU 0.52% | App CPU 0.00% | App Heap 5.18MB
[09:16:22 INF] Usage: Total CPU 0.45% | App CPU 0.00% | App Heap 5.18MB
[09:16:23 INF] Usage: Total CPU 1.99% | App CPU 0.00% | App Heap 5.18MB
[09:16:24 INF] Usage: Total CPU 10.95% | App CPU 0.00% | App Heap 5.19MB
[09:16:25 INF] Usage: Total CPU 7.30% | App CPU 0.00% | App Heap 5.19MB
[09:16:26 INF] Usage: Total CPU 5.18% | App CPU 0.00% | App Heap 5.18MB
[09:16:27 INF] Usage: Total CPU 10.25% | App CPU 0.00% | App Heap 5.18MB
[09:16:28 INF] Usage: Total CPU 6.16% | App CPU 0.00% | App Heap 5.18MB
[09:16:29 INF] Usage: Total CPU 5.39% | App CPU 0.00% | App Heap 5.19MB
[09:16:30 INF] Usage: Total CPU 6.59% | App CPU 0.00% | App Heap 5.18MB
[09:16:31 INF] Usage: Total CPU 9.62% | App CPU 0.00% | App Heap 5.19MB
[09:16:32 INF] Usage: Total CPU 11.40% | App CPU 0.00% | App Heap 5.18MB
[09:16:33 INF] Usage: Total CPU 10.69% | App CPU 0.00% | App Heap 5.18MB
